고객ID,2024관측일수,2025관측일수,2024시간값완전도,2025시간값완전도,2개년핵심표본
M0384,366,365,0.998747723132969,0.9984018264840183,Y
M0385,219,363,0.7201293759512938,0.9668273645546372,N
M0386,366,365,0.9984061930783242,0.9985159817351598,Y
M0387,299,365,0.9942865105908584,0.9984018264840183,N
M0388,366,341,0.9989754098360656,0.9951124144672532,N
M0389,221,365,0.9947209653092006,0.9981735159817352,N
M0390,221,365,0.9947209653092006,0.9981735159817352,N
M0391,366,365,0.9985200364298725,0.9982876712328768,Y
M0392,366,341,0.9990892531876139,0.9967008797653959,N
M0393,366,365,0.998747723132969,0.9986301369863013,Y
M0394,316,365,0.9956487341772152,0.9984018264840183,N
M0395,366,365,0.998747723132969,0.9981735159817352,Y
M0396,366,365,0.9988615664845173,0.9986301369863013,Y
M0397,366,365,1.0,1.0,Y
M0398,366,365,0.9985200364298725,0.9981735159817352,Y
M0399,366,365,1.0,1.0,Y
M0400,344,365,0.9943071705426356,0.9982876712328768,N
M0401,344,365,0.9940649224806202,0.9980593607305936,N
M0402,366,365,0.9981785063752276,0.9984018264840183,Y
M0403,222,365,0.9956831831831832,0.9968036529680365,N
M0404,366,365,1.0,1.0,Y
M0405,366,365,1.0,1.0,Y
M0406,366,365,0.9962431693989071,0.9945205479452055,N
M0407,132,365,0.9933712121212122,0.9981735159817352,N
M0408,366,365,0.9992030965391621,0.9985159817351598,Y
M0409,366,148,1.0,0.9963400900900901,N
M0410,366,365,0.9980646630236795,0.9984018264840183,Y
M0411,366,365,0.9984061930783242,0.9984018264840183,Y
M0412,366,365,0.9989754098360656,0.9988584474885844,Y
M0413,366,365,0.9989754098360656,0.9986301369863013,Y
M0414,366,365,0.9989754098360656,0.998972602739726,Y
M0415,366,365,0.9985200364298725,0.9984018264840183,Y
M0416,366,365,0.9982923497267759,0.9986301369863013,Y
M0417,145,365,0.9956896551724138,0.9970319634703196,N
M0418,366,365,0.9961293260473588,0.9984018264840183,Y
M0419,365,365,0.9958904109589041,0.9957762557077625,N
M0420,366,305,1.0,0.9967213114754099,N
M0421,366,365,1.0,1.0,Y
M0422,366,365,1.0,1.0,Y
M0423,366,365,0.9990892531876139,0.9982876712328768,Y
M0424,148,365,0.9935247747747747,0.9958904109589041,N
M0425,366,365,0.9992030965391621,0.9987442922374429,Y
M0426,366,363,0.9939663023679417,0.9882920110192838,N
M0427,366,347,0.9931693989071039,0.9949567723342939,N
M0428,366,365,1.0,1.0,Y
M0429,366,365,0.9985200364298725,0.9986301369863013,Y
M0430,366,365,0.9985200364298725,0.9984018264840183,Y
M0431,366,365,0.998747723132969,0.9980593607305936,Y
M0432,366,365,0.9989754098360656,0.9988584474885844,Y
M0433,366,365,1.0,1.0,Y
M0434,366,365,0.9985200364298725,0.9984018264840183,Y
M0435,366,365,0.9988615664845173,0.9984018264840183,Y
M0436,366,365,0.998747723132969,0.9982876712328768,Y
M0437,353,365,0.9969310670443815,0.9984018264840183,N
M0438,366,361,0.998747723132969,0.996191135734072,N
M0439,366,365,0.998747723132969,0.9984018264840183,Y
M0440,247,354,0.9961201079622132,0.9941148775894538,N
M0441,366,365,0.9989754098360656,0.9982876712328768,Y
M0442,366,365,0.9974954462659381,0.9942922374429224,N
M0443,366,365,0.9986338797814208,0.9986301369863013,Y
M0444,338,365,0.9982741617357002,0.9986301369863013,N
M0445,287,365,0.9937572590011614,0.9988584474885844,N
M0446,358,365,0.9959264432029795,0.9882420091324201,N
M0447,359,365,0.9943129062209842,0.9972602739726028,N
M0448,366,365,1.0,1.0,Y
M0449,366,345,1.0,0.9963768115942029,N
M0450,366,345,1.0,0.9963768115942029,N
M0451,366,365,1.0,1.0,Y
M0452,366,365,1.0,1.0,Y
M0453,366,365,1.0,1.0,Y
M0454,366,365,1.0,0.9973744292237443,Y
M0455,366,365,1.0,1.0,Y
M0456,366,365,1.0,1.0,Y
M0457,366,365,1.0,1.0,Y
M0458,366,365,1.0,1.0,Y
M0459,366,365,1.0,1.0,Y
M0460,366,365,1.0,1.0,Y
M0461,366,365,1.0,0.9969178082191781,Y
M0462,366,365,0.9989754098360656,0.9981735159817352,Y
M0463,366,365,0.9985200364298725,0.9982876712328768,Y
M0464,366,365,0.9985200364298725,0.9984018264840183,Y
M0465,366,365,0.9980646630236795,0.9926940639269406,N
M0466,366,365,0.9989754098360656,0.9986301369863013,Y
M0467,321,365,0.995067497403946,0.9982876712328768,N
M0468,366,365,0.9992030965391621,0.9992009132420091,Y
M0469,366,365,1.0,1.0,Y
M0470,366,365,0.9989754098360656,0.9987442922374429,Y
M0471,366,355,0.9992030965391621,0.9968309859154929,N
M0472,366,365,0.9986338797814208,0.9981735159817352,Y
M0473,366,365,0.9985200364298725,0.9982876712328768,Y
M0474,328,358,0.9958079268292683,0.9824255121042831,N
M0475,148,365,0.9963400900900901,0.9981735159817352,N
M0476,366,365,1.0,1.0,Y
M0477,366,364,1.0,0.9988553113553114,N
M0478,366,365,0.9985200364298725,0.9982876712328768,Y
M0479,366,365,0.9985200364298725,0.9982876712328768,Y
M0480,366,347,1.0,0.9971181556195965,N
M0481,366,347,1.0,0.9966378482228626,N
M0482,366,365,1.0,1.0,Y
M0483,366,347,1.0,0.9971181556195965,N
M0484,366,347,1.0,0.9971181556195965,N
M0485,366,347,1.0,0.9966378482228626,N
M0486,366,349,1.0,0.994269340974212,N
M0487,366,345,1.0,0.9963768115942029,N
M0488,366,345,1.0,0.9963768115942029,N
M0489,366,349,1.0,0.9927172874880611,N
M0490,366,349,1.0,0.9927172874880611,N
M0491,366,347,0.998747723132969,0.9900336215177714,N
M0492,366,347,0.998747723132969,0.9900336215177714,N
M0493,366,365,1.0,0.9995433789954338,Y
M0494,366,347,0.998747723132969,0.9900336215177714,N
M0495,366,347,0.998747723132969,0.9900336215177714,N
M0496,366,365,1.0,0.9995433789954338,Y
M0497,366,365,1.0,0.9995433789954338,Y
M0498,366,365,1.0,0.9995433789954338,Y
M0499,366,365,1.0,1.0,Y
M0500,366,365,1.0,1.0,Y
M0501,366,365,1.0,1.0,Y
M0502,366,365,1.0,1.0,Y
M0503,364,347,0.9872939560439561,0.9903938520653218,N
M0504,364,347,0.9871794871794872,0.9903938520653218,N
M0505,366,365,1.0,1.0,Y
M0506,364,347,0.9871794871794872,0.9903938520653218,N
M0507,364,347,0.9871794871794872,0.9903938520653218,N
M0508,366,365,1.0,1.0,Y
M0509,366,365,1.0,1.0,Y
M0510,364,347,0.987408424908425,0.9903938520653218,N
M0511,364,347,0.9871794871794872,0.9903938520653218,N
M0512,366,365,1.0,1.0,Y
M0513,366,365,1.0,1.0,Y
M0514,366,365,1.0,1.0,Y
M0515,366,365,1.0,1.0,Y
M0516,366,347,1.0,0.9966378482228626,N
M0517,366,347,1.0,0.9966378482228626,N
M0518,366,365,1.0,1.0,Y
M0519,366,365,1.0,1.0,Y
M0520,366,347,1.0,0.9966378482228626,N
M0521,366,347,1.0,0.9966378482228626,N
M0522,366,365,1.0,1.0,Y
M0523,366,365,1.0,1.0,Y
M0524,366,347,1.0,0.9966378482228626,N
M0525,366,365,1.0,1.0,Y
M0526,366,365,1.0,1.0,Y
M0527,366,365,0.9989754098360656,0.9986301369863013,Y
M0528,366,365,0.9990892531876139,0.998972602739726,Y
M0529,366,365,0.998747723132969,0.9979452054794521,Y
M0530,366,365,1.0,1.0,Y
M0531,366,358,0.9990892531876139,0.9972067039106145,N
M0532,243,108,0.9967421124828533,0.9907407407407407,N
M0533,366,365,0.9978369763205829,0.9992009132420091,Y
M0534,346,323,0.9951830443159922,0.9983230134158927,N
M0535,366,365,0.9985200364298725,0.9981735159817352,Y
M0536,366,365,0.9985200364298725,0.9982876712328768,Y
M0537,366,365,0.9986338797814208,0.9984018264840183,Y
M0538,366,365,0.9992030965391621,0.9992009132420091,Y
M0539,366,365,0.9985200364298725,0.9982876712328768,Y
M0540,330,365,0.9597222222222223,0.9947488584474886,N
M0541,366,365,0.9907786885245902,0.9958904109589041,N
M0542,273,365,0.9624542124542125,0.9915525114155251,N
M0543,366,365,1.0,1.0,Y
M0544,366,365,0.998747723132969,0.9986301369863013,Y
M0545,366,365,0.9982923497267759,0.9968036529680365,Y
M0546,366,365,0.953551912568306,0.9940639269406393,N
M0547,366,365,0.9989754098360656,0.9985159817351598,Y
M0548,366,365,0.9992030965391621,0.9994292237442922,Y
M0549,362,365,0.9955110497237569,0.9981735159817352,N
M0550,343,342,0.4030612244897959,0.870004873294347,N
M0551,366,365,0.9974954462659381,0.9985159817351598,Y
M0552,366,365,0.9988615664845173,0.9960045662100456,Y
M0553,123,365,1.0,0.9986301369863013,N
M0554,366,365,0.9997723132969034,0.9998858447488584,Y
M0555,366,365,0.9985200364298725,0.9982876712328768,Y
M0556,366,365,0.9982923497267759,0.9976027397260274,Y
M0557,366,365,0.9998861566484517,1.0,Y
M0558,366,365,0.9985200364298725,0.9984018264840183,Y
M0559,366,365,0.9986338797814208,0.9984018264840183,Y
M0560,366,365,1.0,1.0,Y
M0561,365,365,0.9875570776255708,0.9865296803652968,N
M0562,366,365,0.9970400728597449,0.9981735159817352,Y
M0563,366,365,0.9961293260473588,0.9985159817351598,Y
M0564,366,365,0.998747723132969,0.9984018264840183,Y
M0565,302,365,0.9957229580573952,0.9964611872146119,N
M0566,366,365,0.9985200364298725,0.9984018264840183,Y
M0567,366,365,0.998747723132969,0.9982876712328768,Y
M0568,366,365,0.998747723132969,0.9949771689497717,N
M0569,366,365,0.998747723132969,0.9985159817351598,Y
M0570,366,365,0.9968123861566485,0.9965753424657534,Y
M0571,366,365,0.9982923497267759,0.9980593607305936,Y
M0572,146,365,0.997431506849315,0.9988584474885844,N
M0573,366,365,0.998747723132969,0.9981735159817352,Y
M0574,83,365,0.9909638554216867,0.9968036529680365,N
M0575,366,365,0.9985200364298725,0.9987442922374429,Y
M0576,366,365,0.9990892531876139,0.9986301369863013,Y
M0577,366,365,0.9990892531876139,0.9986301369863013,Y
M0578,366,365,0.9817850637522769,0.9884703196347032,N
M0579,366,365,1.0,1.0,Y
M0580,366,365,0.9985200364298725,0.9984018264840183,Y
M0581,363,365,0.9972451790633609,0.9982876712328768,N
M0582,91,365,0.989010989010989,0.9969178082191781,N
M0583,366,365,0.9986338797814208,0.9958904109589041,Y
M0584,366,365,0.9985200364298725,0.9982876712328768,Y
M0585,366,365,0.998747723132969,0.9985159817351598,Y
M0586,366,365,0.998747723132969,0.9984018264840183,Y
M0587,366,365,0.9990892531876139,0.9987442922374429,Y
M0588,366,365,0.998747723132969,0.9984018264840183,Y
M0589,366,365,0.9985200364298725,0.9986301369863013,Y
M0590,366,365,0.9981785063752276,0.9985159817351598,Y
M0591,366,365,0.998747723132969,0.9984018264840183,Y
M0592,366,365,0.998747723132969,0.9984018264840183,Y
M0593,356,326,0.9966058052434457,0.994120654396728,N
M0594,366,365,0.9986338797814208,0.9984018264840183,Y
M0595,366,365,0.9986338797814208,0.9985159817351598,Y
M0596,302,365,0.9886865342163356,0.9988584474885844,N
M0597,366,365,0.9912340619307832,0.9896118721461187,N
M0598,366,365,0.998747723132969,0.9984018264840183,Y
M0599,145,365,0.9954022988505747,0.9968036529680365,N
M0600,296,365,0.9942286036036037,0.9984018264840183,N
M0601,296,365,0.9942286036036037,0.9984018264840183,N
M0602,366,365,0.9982923497267759,0.9985159817351598,Y
M0603,366,365,0.998747723132969,0.9984018264840183,Y
M0604,366,365,0.998747723132969,0.9984018264840183,Y
M0605,96,363,0.9813368055555556,0.9962121212121212,N
M0606,366,365,0.9982923497267759,0.9984018264840183,Y
M0607,366,365,0.9985200364298725,0.9985159817351598,Y
M0608,366,365,0.9985200364298725,0.9981735159817352,Y
M0609,5,365,1.0,0.9969178082191781,N
M0610,5,365,1.0,0.9968036529680365,N
M0611,366,365,0.998747723132969,0.9981735159817352,Y
M0612,366,365,0.9989754098360656,0.9982876712328768,Y
M0613,366,365,0.998747723132969,0.9982876712328768,Y
M0614,366,365,0.9985200364298725,0.9984018264840183,Y
M0615,366,365,0.9985200364298725,0.9986301369863013,Y
M0616,366,365,0.9985200364298725,0.9982876712328768,Y
M0617,366,365,0.998747723132969,0.9982876712328768,Y
M0618,366,365,0.9321493624772313,0.9984018264840183,N
M0619,365,365,0.9893835616438356,0.991324200913242,N
M0620,366,365,0.9985200364298725,0.9980593607305936,Y
M0621,366,365,0.9986338797814208,0.9985159817351598,Y
M0622,344,365,0.9933381782945736,0.9984018264840183,N
M0623,366,365,0.998747723132969,0.9982876712328768,Y
M0624,366,365,0.9985200364298725,0.9985159817351598,Y
M0625,366,365,0.9990892531876139,0.9987442922374429,Y
M0626,351,365,0.9924026590693258,0.9982876712328768,N
M0627,366,365,0.9985200364298725,0.9982876712328768,Y
M0628,364,365,0.9971382783882784,0.9984018264840183,N
M0629,366,365,0.9989754098360656,0.9984018264840183,Y
M0630,366,365,1.0,1.0,Y
M0631,366,365,0.9981785063752276,0.9932648401826484,N
M0632,253,365,0.9925889328063241,1.0,N
M0633,288,365,0.9953703703703703,0.9982876712328768,N
M0634,285,365,0.9941520467836257,0.9984018264840183,N
M0635,366,365,0.998747723132969,0.9982876712328768,Y
M0636,366,365,0.9986338797814208,0.9984018264840183,Y
M0637,203,365,0.9969211822660099,1.0,N
M0638,83,365,0.9919678714859438,0.9968036529680365,N
M0639,366,365,0.9985200364298725,0.9984018264840183,Y
M0640,91,365,0.9913003663003663,0.9970319634703196,N
M0641,292,365,0.9958618721461188,0.9968036529680365,N
M0642,328,365,0.995045731707317,1.0,N
M0643,366,365,0.9985200364298725,0.9984018264840183,Y
M0644,353,361,0.9788715769593956,0.9834949215143121,N
M0645,366,365,0.9985200364298725,0.9981735159817352,Y
M0646,366,365,1.0,1.0,Y
M0647,366,365,0.998747723132969,0.9984018264840183,Y
M0648,366,355,1.0,0.9947183098591549,N
M0649,366,365,0.9986338797814208,0.9982876712328768,Y
M0650,366,365,0.9985200364298725,0.9981735159817352,Y
M0651,366,365,0.9988615664845173,0.9988584474885844,Y
M0652,366,365,0.9989754098360656,0.9984018264840183,Y
M0653,366,365,0.9986338797814208,0.9982876712328768,Y
M0654,193,365,0.9935233160621761,0.9982876712328768,N
M0655,366,365,1.0,1.0,Y
M0656,366,365,0.9985200364298725,0.9982876712328768,Y
M0657,366,365,0.9992030965391621,0.9994292237442922,Y
M0658,366,365,0.9971539162112932,0.9986301369863013,Y
M0659,366,365,0.9989754098360656,0.9982876712328768,Y
M0660,366,339,0.998747723132969,0.9964355948869223,N
M0661,15,365,0.9638888888888889,0.9981735159817352,N
M0662,15,365,0.9638888888888889,0.9979452054794521,N
M0663,366,365,1.0,1.0,Y
M0664,366,319,0.9988615664845173,0.9924242424242424,N
M0665,366,365,0.9985200364298725,0.9984018264840183,Y
M0666,366,365,0.9985200364298725,0.9984018264840183,Y
M0667,294,365,0.9946145124716553,0.9970319634703196,N
M0668,366,365,0.9990892531876139,0.9986301369863013,Y
M0669,152,261,0.9939692982456141,0.9982439335887612,N
M0670,366,131,0.9992030965391621,0.9875954198473282,N
M0671,348,365,0.9853927203065134,0.9985159817351598,N
M0672,185,365,0.9923423423423423,0.9970319634703196,N
M0673,317,362,0.9950052576235542,0.9973526703499079,N
M0674,366,314,0.9966985428051002,0.9912420382165605,N
M0675,214,216,0.996690031152648,0.9953703703703703,N
M0676,176,365,0.9912405303030303,0.9982876712328768,N
M0677,320,365,0.995703125,0.9994292237442922,N
M0678,238,365,0.9966736694677871,0.9985159817351598,N
M0679,101,309,0.9962871287128713,0.9982470334412082,N
M0680,136,365,0.9905024509803921,0.9984018264840183,N
M0681,366,365,1.0,1.0,Y
M0682,366,365,0.9985200364298725,0.9984018264840183,Y
M0683,169,365,0.9918639053254438,0.997716894977169,N
M0684,208,365,0.9897836538461539,0.9998858447488584,N
M0685,352,365,0.9953835227272727,0.9914383561643836,N
M0686,366,316,1.0,0.9980221518987342,N
M0687,366,330,0.9918032786885246,0.9933080808080809,N
M0688,217,365,0.9967357910906298,1.0,N
M0689,162,260,0.9943415637860082,0.9963141025641026,N
M0690,213,352,0.9894366197183099,0.9868607954545454,N
M0691,366,297,0.9993169398907104,0.9936868686868687,N
M0692,366,352,0.9992030965391621,0.9962121212121212,N
M0693,335,365,0.9925373134328358,1.0,N
M0694,285,365,0.9976608187134502,1.0,N
M0695,362,365,0.9955110497237569,0.9970319634703196,N
M0696,337,365,0.994807121661721,0.9984018264840183,N
M0697,205,218,0.9961382113821138,0.9957951070336392,N
M0698,326,365,0.9933537832310838,0.9984018264840183,N
M0699,366,365,0.9985200364298725,0.9980593607305936,Y
M0700,366,365,1.0,1.0,Y
M0701,342,365,0.996588693957115,0.9986301369863013,N
M0702,196,365,0.9921343537414966,0.9984018264840183,N
M0703,366,291,0.9992030965391621,0.9331328751431844,N
M0704,331,365,0.9938318227593153,0.9969178082191781,N
M0705,239,365,0.9900627615062761,0.9981735159817352,N
M0706,332,365,0.9956074297188755,0.9979452054794521,N
M0707,330,365,0.9959595959595959,0.9986301369863013,N
M0708,366,365,0.9984061930783242,0.9968036529680365,Y
M0709,366,365,0.9973816029143898,0.9980593607305936,Y
M0710,358,365,0.9968575418994413,0.9982876712328768,N
M0711,163,99,0.9961656441717791,0.9869528619528619,N
M0712,235,365,0.9953900709219858,1.0,N
M0713,366,340,0.9966985428051002,0.9962009803921569,N
M0714,366,293,0.9993169398907104,0.997155858930603,N
M0715,366,327,0.980988160291439,0.9853465851172273,N
M0716,366,327,0.9989754098360656,0.9955402650356778,N
M0717,340,365,0.9957107843137255,0.9985159817351598,N
M0718,182,365,0.9922161172161172,0.9979452054794521,N
M0719,363,365,0.995752984389348,0.9968036529680365,N
M0720,366,315,0.9989754098360656,0.995899470899471,N
M0721,366,315,0.998747723132969,0.9957671957671957,N
M0722,321,362,0.995846313603323,0.9955110497237569,N
M0723,343,365,0.994533527696793,0.9984018264840183,N
M0724,366,361,0.9989754098360656,0.9959602954755309,N
M0725,134,174,0.9937810945273632,0.9940134099616859,N
M0726,86,308,0.9912790697674418,0.9985119047619048,N
M0727,366,326,0.9992030965391621,0.9938650306748467,N
M0728,366,365,0.998747723132969,0.9981735159817352,Y
M0729,366,365,0.9992030965391621,0.9981735159817352,Y
M0730,135,365,0.9962962962962963,0.9986301369863013,N
M0731,366,309,0.9992030965391621,0.9959546925566343,N
M0732,96,349,0.9921875,0.9970152817574021,N
M0733,366,354,0.9980646630236795,0.9895244821092278,N
M0734,366,291,0.9990892531876139,0.9939862542955327,N
M0735,366,331,0.9892987249544627,0.9861530715005036,N
M0736,366,303,0.9845173041894353,0.9852860286028603,N
M0737,365,338,0.9938356164383562,0.9786735700197239,N
M0738,180,365,0.9912037037037037,0.9963470319634703,N
M0739,366,365,1.0,1.0,Y
M0740,259,365,0.9691119691119691,0.9970319634703196,N
M0741,128,163,0.9931640625,0.9946319018404908,N
M0742,227,365,0.993208516886931,0.996689497716895,N
M0743,324,365,0.9939557613168725,0.9985159817351598,N
M0744,316,341,0.9961761603375527,0.9965786901270772,N
M0745,194,124,0.9952749140893471,0.9963037634408602,N
M0746,366,365,0.9993169398907104,0.9971461187214612,Y
M0747,366,332,0.9988615664845173,0.9967369477911646,N
M0748,366,365,0.998747723132969,0.9994292237442922,Y
M0749,366,365,0.9984061930783242,0.9984018264840183,Y
M0750,366,336,0.9976092896174863,0.9956597222222222,N
M0751,182,327,0.9993131868131868,0.9947757390417941,N
M0752,293,365,0.9954493742889647,0.997716894977169,N
M0753,297,363,0.9941077441077442,0.996900826446281,N
M0754,366,335,0.9979508196721312,0.9953980099502487,N
M0755,125,365,0.994,0.9984018264840183,N
M0756,366,365,0.998747723132969,0.9984018264840183,Y
M0757,366,187,0.9992030965391621,0.9908645276292335,N
M0758,366,207,0.9989754098360656,0.9921497584541062,N
M0759,331,236,0.9910624370594159,0.9927612994350282,N
M0760,336,236,0.9945436507936508,0.9929378531073446,N
M0761,366,365,0.9553734061930783,0.9522831050228311,N
M0762,366,365,0.9992030965391621,0.9994292237442922,Y
M0763,362,365,0.9623618784530387,0.9985159817351598,N
M0764,285,34,0.9978070175438597,0.9865196078431373,N
M0765,366,365,0.9992030965391621,0.9994292237442922,Y
M0766,345,365,0.9958937198067633,0.9984018264840183,N
M0767,366,250,0.9510473588342441,0.9693333333333334,N
M0768,366,365,0.9992030965391621,0.9992009132420091,Y
M0769,366,365,0.9992030965391621,0.9992009132420091,Y
M0770,366,365,0.9992030965391621,0.9992009132420091,Y
M0771,366,365,0.9985200364298725,0.9984018264840183,Y
M0772,83,362,0.9944779116465864,0.9974677716390423,N
M0773,366,365,0.9989754098360656,0.9982876712328768,Y
M0774,366,365,0.9989754098360656,0.9859589041095891,N
M0775,332,318,0.985316265060241,0.9968553459119497,N
M0776,366,365,0.9989754098360656,0.9982876712328768,Y
M0777,366,365,0.9984061930783242,0.9948630136986302,N
M0778,366,312,0.9952185792349727,0.9953258547008547,N
M0779,366,365,0.9989754098360656,0.9984018264840183,Y
M0780,184,318,0.9966032608695652,0.997248427672956,N
M0781,366,365,0.998747723132969,0.9994292237442922,Y
M0782,366,365,0.9986338797814208,0.998972602739726,Y
M0783,366,365,0.9993169398907104,0.9988584474885844,Y
M0784,366,365,1.0,1.0,Y
M0785,180,350,0.9956018518518519,0.9971428571428571,N
M0786,180,311,0.9956018518518519,0.9973204715969989,N
M0787,366,365,0.9978369763205829,0.9985159817351598,Y
M0788,366,365,0.9992030965391621,0.9981735159817352,Y
M0789,366,365,0.9990892531876139,0.9982876712328768,Y
M0790,366,242,0.9992030965391621,0.9953512396694215,N
M0791,366,365,0.9989754098360656,0.9994292237442922,Y
M0792,366,364,0.9993169398907104,0.9886675824175825,N
M0793,366,365,0.9990892531876139,0.9990867579908675,Y
M0794,366,362,0.9992030965391621,0.9973526703499079,N
M0795,366,365,0.9980646630236795,0.9953196347031964,Y
M0796,366,365,0.9992030965391621,0.9992009132420091,Y
M0797,366,365,0.9992030965391621,0.9992009132420091,Y
M0798,366,365,0.9992030965391621,0.9994292237442922,Y
M0799,366,365,0.9992030965391621,0.9970319634703196,Y
M0800,366,365,0.9986338797814208,0.9986301369863013,Y
